id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
524862,2016,DICIEMBRE,LUNES,2016-12-12,10,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.572260964,-58.490273609,1
524991,2016,DICIEMBRE,LUNES,2016-12-12,15,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.57253258,-58.4886639809999,1
525000,2016,DICIEMBRE,JUEVES,2016-12-15,21,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.570311621,-58.488540442,1
525123,2016,DICIEMBRE,LUNES,2016-12-05,19,Robo,Robo automotor,SI,NO,VILLA URQUIZA,12,-34.568497254,-58.4872773119999,1
525126,2016,DICIEMBRE,LUNES,2016-12-05,18,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.568497254,-58.4872773119999,1
525174,2016,DICIEMBRE,MIERCOLES,2016-12-07,10,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.572594866,-58.486752114,1
525201,2016,DICIEMBRE,DOMINGO,2016-12-04,17,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.574827365,-58.486626969,1
525225,2016,DICIEMBRE,DOMINGO,2016-12-18,16,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.5779572179999,-58.486411318,1
525291,2016,DICIEMBRE,MIERCOLES,2016-12-07,2,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5772347179999,-58.48556243,1
525303,2016,DICIEMBRE,LUNES,2016-12-05,11,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.577368914,-58.4853599539999,1
525342,2016,DICIEMBRE,DOMINGO,2016-12-18,8,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5726955649999,-58.4850054189999,1
526017,2016,MARZO,VIERNES,2016-03-04,8,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5785238559999,-58.487385671,1
526026,2016,MARZO,SABADO,2016-03-05,20,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.568558808,-58.487294361,1
526029,2016,MARZO,SABADO,2016-03-05,9,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.577078098,-58.487241043,1
526038,2016,MARZO,MARTES,2016-03-08,11,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5738770249999,-58.4869739179999,1
